Year;PUEMoyComm;nueMoy.MPO.ngsl;nueMoy.MPO.sgsl;pueMoy.MPO.ngsl;pueMoy.MPO.sgsl;nueMoy.psm.ngsl;nueMoy.psm.sgsl;pueMoy.psm.ngsl;pueMoy.psm.sgsl;nueMoy85.MPO.ngsl;nueMoy85.MPO.sgsl;PUEMoy85.MPO.NGSL;PUEMoy85.MPO.SGSL;nueMoy85.psm.ngsl;PUEMoy85.PSM.NGSL;MoyPUE85.NGSL.SGSL;MoyPUE85.MPO.PSM;MoyPUE85.NGSL;MoyPUE85.MPO.SGSL.PSM
1960;;;;;;;;;;;;;;;;;;;
1961;;;;;;;;;;;;;;;;;;;
1962;;;;;;;;;;;;;;;;;;;
1963;;;;;;;;;;;;;;;;;;;
1964;;;;;;;;;;;;;;;;;;;
1965;;;;;;;;;;;;;;;;;;;
1966;;;;;;;;;;;;;;;;;;;
1967;;;;;;;;;;;;;;;;;;;
1968;;;;;;;;;;;;;;;;;;;
1969;;;;;;;;;;;;;;;;;;;
1970;;;;;;;;;;;;;;;;;;;
1971;;;;;;;;;;;;;;;;;;;
1972;;;;;;;;;;;;;;;;;;;
1973;;;;;;;;;;;;;;;;;;;
1974;;;;;;;;;;;;;;;;;;;
1975;;;;;;;;;;;;;;;;;;;
1976;;;;;;;;;;;;;;;;;;;
1977;;;;;;;;;;;;;;;;;;;
1978;;;;;;;;;;;;;;;;;;;
1979;;;;;;;;;;;;;;;;;;;
1980;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;;;;;;;;;;;
1982;;;;;;;;;;;;;;;;;;;
1983;;;;;;;;;;;;;;;;;;;
1984;;;;;;;;;;;;;;;;;;;
1985;;;0.0389453667666675;;0.0437416609615824;;;;;;;;;;;;;;
1986;;;0.019813855948448;;0.0348069937126186;;;;;;;;;;;;;;
1987;;;0.0136797228306732;;0.143474430386786;;;;;;;;;;;;;;
1988;;;0.0568337535215407;;1.89533940517478;;;;;;0.0261817118974623;;1.79514864616393;;;1.79514864616393;1.79514864616393;;1.79514864616393
1989;;;;;;;;;;;;;;;;;;;
1990;;0.0096617437025775;;0.291522748;;;;;;0.00528044774696992;;0.218082491949858;;;;0.218082491949858;0.218082491949858;0.218082491949858;
1991;;0.0344530434206871;0.016523332417879;0.304103648;0.55628552473526;;;;;0.00856474604040391;0.0110155549452527;0.237176154993852;0.498453861272684;;;0.367815008133268;0.367815008133268;0.237176154993852;0.498453861272684
1992;;0.00285234168291071;0.0236451194218057;0.183820375;1.94332532528814;;;;;0.00289455644231557;0.014171595904823;0.184232157877456;1.94000959205719;;;1.06212087496732;1.06212087496732;0.184232157877456;1.94000959205719
1993;;0.00261660048618939;0.00728250576936149;0.049176125;0.029130023077446;;;;;0.0026340416569044;;0.0492488186452098;;;;0.0492488186452098;0.0492488186452098;0.0492488186452098;
1994;;0.0338819420061237;0.00666123214405831;0.492481308;0.00666123214405831;;;;;0.0117668136453561;;0.435854336895209;;;;0.435854336895209;0.435854336895209;0.435854336895209;
1995;;0.0181115333075043;0.0385610134193378;0.054946601;0.0668507590303731;0.0323036318245137;;0.219247567117542;;0.00570212253386842;;0.0459370994307435;;0.0135647346238921;0.219247567;0.0459370994307435;0.132592333215372;0.132592333215372;0.219247567
1996;;0.0262895583196019;0.0288917079465271;0.11879538;0.135560167932657;0.0209445952039266;;0.185820560126715;;0.00612689721479031;0.00786825353232335;0.0792162548933513;0.0873376142087891;0.00396964326805377;0.18582056;0.0832769345510702;0.117458143034047;0.132518407446676;0.136579087104395
1997;;0.0871539361202956;0.0135985081725402;0.871686462;0.0444737946361161;0.0227066565985817;;0.0568573375526663;;0.0226153515782929;0.00164709664809703;0.774994420822276;0.0181180631290673;;0.056857338;0.396556241975672;0.283323273983781;0.415925879411138;0.0374877005645336
1998;;0.0497666520841807;0.0478748435884423;0.247136014;0.195738422655728;0.0102735345746976;;0.0432257716928771;;0.0147855671358734;0.0065411728467319;0.119251277561612;0.0497129136351623;;0.043225772;0.0844820955983872;0.0707299877322581;0.081238524780806;0.0464693428175812
1999;;0.0765856789724526;0.0474980764002565;0.213365526;0.21788848480435;0.0328659212664686;;0.123230213043787;;0.00997460971649939;0.0128265117010651;0.0799893604090143;0.0970500683350726;0.0213446151812447;0.123230213;0.0885197143720435;0.100089880581362;0.101609786704507;0.110140140667536
2000;;0.0249286147458559;0.17803700561283;0.178245604;0.31617997174159;0.0296672641395056;;0.163576551022169;;0.00711188805842088;0.00681073943560166;0.122907245516466;0.0374590668958091;0.00974885454094616;0.163576551;0.0801831562061375;0.107980954470758;0.143241898258233;0.100517808947905
2001;;0.0566718621634604;0.133014251138165;0.309150496;0.479410987195701;0.0273973536322157;;0.246218985777225;;0.0112509149171314;0.0215463693853057;0.211880045869131;0.322688799761505;0.0076826837353462;0.246218986;0.267284422815318;0.260262610543545;0.229049515934566;0.284453892880753
2002;;0.102524354935798;0.452827061406982;0.267857263;0.732111695898491;0.0405977257559295;;0.132333075922325;;0.00522347522347876;0.026197213249977;0.0579686559243335;0.313529880390823;0.00719849258105398;0.132333076;0.185749268157578;0.167943870771719;0.0951508659621668;0.222931478195412
2003;97.3384688681452;0.169078447734506;;0.540375323;;0.0512695250146713;;0.0898475596639722;;0.0209316710762861;;0.282133583165873;;0.00461200841049537;0.08984756;0.282133583165873;0.185990571582936;0.185990571582936;0.08984756
2004;91.6040345440702;0.24209961826455;0.293054284193136;0.589404624;0.591112069541277;0.111851216180251;0.082911470400901;0.468944788248527;0.163842482973573;0.00610063167012481;0.0109614086376111;0.135373524433865;0.137887004551274;0.012192795747225;0.468944788;0.136630264492569;0.24740177232838;0.302159156216933;0.303415896275637
2005;124.260288353405;0.222032311082342;0.172248066523792;0.752151229;0.418226888244936;0.170292323048315;0.172354248195413;0.571668256039388;0.451748523966222;0.0378708650483811;0.0113510685542396;0.338886298501737;0.113260669475215;0.0146035075981751;0.571668256;0.226073483988476;0.341271741325651;0.455277277250869;0.342464462737608
2006;133.620259836165;0.379282589903856;0.339391043546481;1.063567598;0.919018067672331;0.211725965786194;0.126249256021037;0.708311917946874;0.476183691465989;0.0351751137677836;0.0426064025524849;0.387012804961662;0.234775521198971;0.0350295634886029;0.708311918;0.310894163080316;0.443366748053544;0.547662361480831;0.471543719599485
2007;196.94351482714;0.418951673895399;0.500359787415113;1.627916169;1.34251853836519;0.164320778775017;0.0804612130357836;0.718132163285757;0.303790558998453;0.0423871773793865;0.0598728244338774;0.766955809963776;0.271673243166969;0.0340181796303738;0.718132163;0.519314526565372;0.585587072043582;0.742543986481888;0.494902703083484
2008;210.608691293842;0.403761330674457;0.356202574056865;3.262464288;0.788602594906667;0.129607133504904;0.128686259717132;0.708495340727189;0.742305334030997;0.127617735014573;0.029103168466518;2.40118379267678;0.184898180073936;0.0516240013951799;0.708495341;1.29304098637536;1.09819243791691;1.55483956683839;0.446696760536968
2009;302.225178480575;0.271767912745465;0.301070953454035;2.042790417;0.785847221928957;0.195214336476292;0.316043906404249;1.1271449047644;0.574536783805676;0.0868198867480371;0.0338936219371794;1.49687339248377;0.339379401898414;0.062062363423352;1.127144905;0.918126397191092;0.987799233127395;1.31200914874189;0.733262153449207
2010;297.257514450041;0.490696632808529;0.408367291222783;3.028578856;1.53704762760432;0.191815851617114;0.170231123468907;0.930815031441603;1.35524654103505;0.15496716482494;0.049393870346684;2.07474886213544;0.295189023520784;0.0613577793444709;0.930815031;1.18496894282811;1.10025097221874;1.50278194656772;0.613002027260392
2011;280.071691223255;0.319085138259447;0.573558806774706;2.573997444;4.52350850723085;0.144328194275906;0.171999356549275;0.984843891088851;0.639524472038033;0.16876052614736;0.147531356683422;2.08915133974393;2.62780327539511;0.0608221000163311;0.984843891;2.35847730756952;1.90059950204635;1.53699761537197;1.80632358319756
2012;301.872771748882;0.33890553091781;0.568162572240561;1.96434909;2.63299540437301;0.138795942488075;0.0921258349092239;0.773330843981172;0.627488136871808;0.0842052023479847;0.100923910426082;1.24940341716408;0.917139934431712;0.0456930031834411;0.773330844;1.0832716757979;0.979958065198597;1.01136713058204;0.845235389215856
2013;468.092381366071;0.431897026043218;0.439149955046274;1.829391925;2.89792705359434;0.211790381493222;0.105896156604391;0.922381287370972;0.320702112396455;0.0840876287901643;0.0734763723822085;1.18618287171455;1.44021889988911;0.0472292245741213;0.922381287;1.31320088580183;1.18292768620122;1.05428207935727;1.18130009344455
2014;507.643911038544;0.941422097972054;0.455985845578985;4.277766375;2.05632952893027;0.343407367814205;0.157511124557473;1.57698220048673;0.49178054480502;0.164931398134598;0.0856164464433337;2.61682905140537;1.12981102089038;0.0802327330421059;1.5769822;1.87332003614788;1.77454075743192;2.09690562570268;1.35339661044519
2015;407.332397801607;0.698689148277649;0.60057205159;5.172520464;3.30808771911483;0.229215019028317;0.229174118905769;1.94731108884035;0.885837891687098;0.174050420773703;0.145214573287969;4.29099681592123;1.99459464746099;0.121172175565167;1.947311089;3.14279573169111;2.74430085079407;3.11915395246062;1.9709528682305
2016;396.533308930969;0.78889815660877;0.640964456179166;5.075245553;4.46531203464847;0.218705606885005;0.285810268169826;1.19807550973332;2.11047545016723;0.172158716461243;0.169803379901579;3.86372093002296;2.86175589275115;0.0847952865696056;1.19807551;3.36273841138705;2.6411841109247;2.53089822001148;2.02991570137557
2017;476.227399376242;0.829713960268812;0.500295340574856;4.502436944;3.02115432449746;0.280550222462863;0.0546137640466058;2.65012302158134;0.683110235365138;0.17901229682914;0.138056410132901;2.818703209181;1.66788233854409;0.145193195829523;2.650123022;2.24329277386254;2.37890285657503;2.7344131155905;2.15900268027205
2018;549.574210775006;0.875249800246325;0.349282598535999;5.842392417;2.50566175989692;0.206308741597702;0.105631564884196;1.64566622554122;1.81321541652214;0.329640307056973;0.0777685972235253;4.50393712792083;1.49991560815491;0.135666736743805;1.645666226;3.00192636803787;2.54983965402525;3.07480167696041;1.57279091707745
2019;495.002850661937;0.56747776523388;0.526622161118886;4.68456006;3.61299572274598;0.164204883071145;0.290883485605081;1.93128763719204;1.46160251827784;0.246575538005798;0.157515791531269;3.64248466553159;1.88733800381208;0.0948600567849979;1.931287637;2.76491133467183;2.48703676878122;2.78688615126579;1.90931282040604
2020;605.865158281102;0.455666661;0.767596539;4.597031956;4.046035424;;;2.2710823596929;;0.254620072423096;;3.92808227175773;1.60626062344431;;2.2710823596929;2.76717144760102;2.60180841829831;3.09958231572532;1.93867149156861
